Date / Time,City,State,Shape,Duration,Summary,Posted,Type
2/21/20 01:35,Seattle,WA,Oval,1-2 minutes,"Large low flying craft over Seattle just barely visible to the eye due to light pollution that did not look, move, or sound normal",2/25/20,Sighting
2/21/20,North Las Vegas,NV,Oval,,Every nite this oval shape thing seat above are cond every single nite so i took pics and zoom in on it and it showed oval and then i l,2/25/20,Sighting
2/20/20 23:46,Royse City,TX,Unknown,21,"I saw 3-5 objects in 10"" Telescope.",2/25/20,Sighting
2/20/20 23:00,Medford,OR,Oval,3 minutes,I was admiring the night sky when I saw what appeared to be a oval like object hovering from 4 to 5 miles away with lights looping arou,2/25/20,Sighting
2/20/20 20:30,Hermon,ME,Other,Ongoing,"Light hovering in sky. Orange or yellow. Double sphere, one on top of the other.West of Bangor airport, near Hermon. At altitude.",2/25/20,Sighting
2/20/20 20:00,Lake Orion,MI,Circle,60 minutes,Glowing object that seemed to follow me.,2/25/20,Sighting
2/20/20 19:45,Jefferson Township,PA,Triangle,5 minutes,A triangulated object was hovering directly over our house I would estimate about 500 feet in the air. I had seen two similar objects a,2/25/20,Sighting
2/20/20 19:30,Utica,NY,Fireball,20 minutes,"Driving home from work spotted a large yellow/orange light, thought it was maybe a planet. Changed shape from circular to oval. had bli",2/25/20,Sighting
2/20/20 19:00,Dexter,IA,Circle,3 seconds,The object was green and looked like a star. It moved above me and traveled from East to the West horizon.,2/25/20,Sighting
2/20/20 19:00,Clear Lake,IA,Disk,4 seconds,"It started off looking like a shooting star, but it went more green and turned into a disk shape and zipped off into the distance.",2/25/20,Sighting
2/20/20 12:30,Temecula,CA,Disk,2 minutes,Objects were flying very high and circling. They started to straighten out when two of them shot off in the opposite direction. Lost si,2/25/20,Sighting
2/20/20 11:15,Wayne,MI,Cross,5 minutes,Low flying object going much slower than an airplane with very boxy shaped and defined protrusions.,2/25/20,Sighting
2/20/20 10:00,Amery,WI,Oval,,Pink saucer in the sky with a bubble underneath.,2/25/20,Sighting
2/20/20 09:00,Tacoma,WA,Circle,1 hour,Black circle floating in sky above the mountains.,2/25/20,Sighting
2/20/20 07:50,Hutchinson,KS,Circle,3 seconds,Driving down Main St/6th headed North I looked over to my left a bit and noticed a green ball of light shooting across similar to a sho,2/25/20,Sighting
2/20/20 05:40,New Truxton,MO,Rectangle,1 minute,"Rectangular aircraft, super loud, 4 points of light",2/25/20,Sighting
2/20/20 05:30,Pt. Townsend,WA,Light,10 minutes,String of lights.,2/25/20,Sighting
2/20/20 04:30,Brownville,ME,Sphere,5 minutes,"white lights materialize and fly in a straight line formation. ((""Starlink"" satellites??))",2/25/20,Sighting
2/20/20,Monee,IL,Triangle,,"Was hovering near side of I 57 hwy pretty low, triangular with 3 red lights",2/25/20,Sighting
2/20/20,Colchester,IL,Circle,3 minutes,Silver curricular object flying horizontally then vanished,2/25/20,Sighting
2/19/20 23:00,Middleburg Heights,OH,Sphere,40 minutes,Round sphere bright light 5 of them kinda scattered I've been seeing them for 3 nights in a row now my daughter has seen them also man,2/25/20,Sighting
2/19/20 22:48,Last Chance,CO,Rectangle,1 hour,While watching the Viaero Sky weather camera I witnessed multiple moving lights. They were all traveling at different speeds but were a,2/25/20,Sighting
2/19/20 22:38,Bend,OR,Formation,4.5 seconds,"fast moving, 5 point triangular formation of lights that break away in unison",2/25/20,Sighting
2/19/20 22:30,Renton,WA,Light,<5 minutes,"Witness report: Star moving rapidly, erratically",2/25/20,Sighting
2/19/20 20:00,Boise,ID,Light,10 minutes,9 craft one after the other looked like a satellite at first.,2/25/20,Sighting
2/19/20 19:11,Cleveland,OH,Circle,2 hours,Brighter then the planet Jupiter,2/25/20,Sighting
2/19/20 19:00,Jacksonville,OR,Light,10 minutes,"Multiple satellite looking objects with up to 5 in a row evenly spaced. ((""Spacelink"" satellites??))",2/25/20,Sighting
2/19/20 15:50,Hoover,AL,Triangle,45,Driving down highway 150 saw a bright triangle with lights in the points and one extra in the middle of the back. Sat still over the gr,2/25/20,Sighting
2/19/20 11:07,Apple Valley,CA,Disk,7 minutes,"I was looking up North for a very loud fighter jet, bus instead i seen 11 disk flying east moving slow and exchanging places one would",2/25/20,Sighting
