Date / Time,City,State,Shape,Duration,Summary,Posted,Type,text,Lat,Lng
2/22/20 03:14,Shakopee,MN,Light,5 seconds,"I was driving and the road I was driving down didn't have much light, there was no one on the road behind me or coming towards me. I lo",2/25/20,Sighting,Sighting : Shakopee,44.7973962,-93.5272861
2/22/20 01:47,Chazy Lake,NY,Light,~2 minutes starting,Bright white light stationary over the lake in the middle of the night,2/25/20,Sighting,Sighting : Chazy Lake,44.7493399,-73.8243962
2/22/20 01:45,Edgartown,MA,Light,it kept going,"3 fast moving erratic lights over Edgartown, MA",2/25/20,Sighting,Sighting : Edgartown,41.3890052,-70.5133599
2/22/20,Twin Falls,ID,Cigar,20 minutee,Around 4:30 AM I stood at my kitchen window looking to the north west sky and observed what appeared to be an airplane heading toward t,2/25/20,Sighting,Sighting : Twin Falls,42.5558381,-114.4700518
2/22/20,Hixson,TN,Circle,30-45 minutes,"While arriving home we saw a large bright light above our home. It was huge, swaying side to side. ((NUFORC Note: Venus?? PD))",2/25/20,Sighting,Sighting : Hixson,35.137265,-85.2368219
2/21/20 23:50,Snohomish,WA,Disk,~3 minutes (multiple),I saw white lights hovering and moving around at least 8 times today. Looking at them with a naked eye they just looked like white ligh,2/25/20,Sighting,Sighting : Snohomish,47.91287560000001,-122.0981847
2/21/20 22:30,San Diego (Palomar Mountains),CA,Light,4 minutes,a strike of light then a bright white light that moved crazy fast and would somtimes flash,2/25/20,Sighting,Sighting : San Diego (Palomar Mountains),33.3633675,-116.8355789
2/21/20 21:30,St. Charles,MO,,2 minutes,On Friday night I was driving to my friends house and noticed 5 orange balls in the air just over the tree line roughly 5-8 miles away,2/25/20,Sighting,Sighting : St. Charles,38.7881062,-90.4974359
2/21/20 21:00,Summerville,GA,Circle,Hour,Ring of lights hovering and rotating in one spot.,2/25/20,Sighting,Sighting : Summerville,34.480642,-85.3477343
2/21/20 20:00,New York,NY,Circle,20 minutes,Steady well lit symetrical circle of lights,2/25/20,Sighting,Sighting : New York,40.7127753,-74.0059728
2/21/20 19:50,Portland,OR,Cross,30 minutes,Unknown flying object sighting in Waterfront Park.,2/25/20,Sighting,Sighting : Portland,45.5051064,-122.6750261
2/21/20 19:30,Rochester,NY,Circle,45 minutes,aircraft in the vicinity seemed not to be able to approach this object,2/25/20,Sighting,Sighting : Rochester,43.15657789999999,-77.6088465
2/21/20 19:30,Tifton,GA,Unknown,3 minutes,Large spark-like lights,2/25/20,Sighting,Sighting : Tifton,31.4504629,-83.5084973
2/21/20 13:20,South Kingstown,RI,Other,5 minutes,Strange looking 'plane' flies low from ocean northward,2/25/20,Sighting,Sighting : South Kingstown,41.4475686,-71.524667
2/21/20 07:05,La Center,WA,Cigar,5 minutes,It was white from the sun reflecting off it. It had a trail like a jet but the trail was disappearing which left it a very short tail f,2/25/20,Sighting,Sighting : La Center,45.8619434,-122.672568
2/21/20 05:45,Rothbury,MI,Circle,3 minutes,Early morning skies were cear and stars bright and so was what i thought was Mars..can someone tell me what i saw.,2/25/20,Sighting,Sighting : Rothbury,43.5072317,-86.3475717
2/21/20 05:25,Jay,VT,Formation,20 minutes,"A long band formation spotted over Jay Peak Resort. ((""Starlink"" satellites??))",2/25/20,Sighting,Sighting : Jay,44.96492540000001,-72.4602429
2/21/20 05:00,Maple Valley,WA,Light,5-10 minutes,"Star like lights descending in a pattern in the clear night sky. ((""Starlink"" satellites??))",2/25/20,Sighting,Sighting : Maple Valley,47.3903403,-122.0453589
2/21/20 03:00,NYC,NY,Circle,2 minutes,6 ufos at Statute Of Liberty 3 ufos merge into 1,2/25/20,Sighting,Sighting : NYC,40.7127753,-74.0059728
2/21/20 01:35,Seattle,WA,Oval,1-2 minutes,"Large low flying craft over Seattle just barely visible to the eye due to light pollution that did not look, move, or sound normal",2/25/20,Sighting,Sighting : Seattle,47.6062095,-122.3320708
2/21/20,North Las Vegas,NV,Oval,,Every nite this oval shape thing seat above are cond every single nite so i took pics and zoom in on it and it showed oval and then i l,2/25/20,Sighting,Sighting : North Las Vegas,36.1988592,-115.1175013
2/20/20 23:46,Royse City,TX,Unknown,21,"I saw 3-5 objects in 10"" Telescope.",2/25/20,Sighting,Sighting : Royse City,32.9751204,-96.3324817
2/20/20 23:00,Medford,OR,Oval,3 minutes,I was admiring the night sky when I saw what appeared to be a oval like object hovering from 4 to 5 miles away with lights looping arou,2/25/20,Sighting,Sighting : Medford,42.3265152,-122.8755949
2/20/20 20:30,Hermon,ME,Other,Ongoing,"Light hovering in sky. Orange or yellow. Double sphere, one on top of the other.West of Bangor airport, near Hermon. At altitude.",2/25/20,Sighting,Sighting : Hermon,44.81007,-68.9133724
2/20/20 20:00,Lake Orion,MI,Circle,60 minutes,Glowing object that seemed to follow me.,2/25/20,Sighting,Sighting : Lake Orion,42.7844752,-83.2396612
2/20/20 19:45,Jefferson Township,PA,Triangle,5 minutes,A triangulated object was hovering directly over our house I would estimate about 500 feet in the air. I had seen two similar objects a,2/25/20,Sighting,Sighting : Jefferson Township,41.4414924,-75.4927278
2/20/20 19:30,Utica,NY,Fireball,20 minutes,"Driving home from work spotted a large yellow/orange light, thought it was maybe a planet. Changed shape from circular to oval. had bli",2/25/20,Sighting,Sighting : Utica,43.100903,-75.232664
2/20/20 19:00,Dexter,IA,Circle,3 seconds,The object was green and looked like a star. It moved above me and traveled from East to the West horizon.,2/25/20,Sighting,Sighting : Dexter,41.5183216,-94.22634819999999
2/20/20 19:00,Clear Lake,IA,Disk,4 seconds,"It started off looking like a shooting star, but it went more green and turned into a disk shape and zipped off into the distance.",2/25/20,Sighting,Sighting : Clear Lake,43.1435564,-93.3788108
2/20/20 12:30,Temecula,CA,Disk,2 minutes,Objects were flying very high and circling. They started to straighten out when two of them shot off in the opposite direction. Lost si,2/25/20,Sighting,Sighting : Temecula,33.4936391,-117.1483648
2/20/20 11:15,Wayne,MI,Cross,5 minutes,Low flying object going much slower than an airplane with very boxy shaped and defined protrusions.,2/25/20,Sighting,Sighting : Wayne,42.2814269,-83.3863214
2/20/20 10:00,Amery,WI,Oval,,Pink saucer in the sky with a bubble underneath.,2/25/20,Sighting,Sighting : Amery,45.3069062,-92.3621369
2/20/20 09:00,Tacoma,WA,Circle,1 hour,Black circle floating in sky above the mountains.,2/25/20,Sighting,Sighting : Tacoma,47.2528768,-122.4442906
2/20/20 07:50,Hutchinson,KS,Circle,3 seconds,Driving down Main St/6th headed North I looked over to my left a bit and noticed a green ball of light shooting across similar to a sho,2/25/20,Sighting,Sighting : Hutchinson,38.0608445,-97.92977429999999
2/20/20 05:40,New Truxton,MO,Rectangle,1 minute,"Rectangular aircraft, super loud, 4 points of light",2/25/20,Sighting,Sighting : New Truxton,38.978376,-91.2379301
2/20/20 05:30,Pt. Townsend,WA,Light,10 minutes,String of lights.,2/25/20,Sighting,Sighting : Pt. Townsend,48.11703869999999,-122.7604471
2/20/20 04:30,Brownville,ME,Sphere,5 minutes,"white lights materialize and fly in a straight line formation. ((""Starlink"" satellites??))",2/25/20,Sighting,Sighting : Brownville,45.3070685,-69.03339
2/20/20,Monee,IL,Triangle,,"Was hovering near side of I 57 hwy pretty low, triangular with 3 red lights",2/25/20,Sighting,Sighting : Monee,41.420034,-87.7417114
2/20/20,Colchester,IL,Circle,3 minutes,Silver curricular object flying horizontally then vanished,2/25/20,Sighting,Sighting : Colchester,40.4264306,-90.7926324
2/19/20 23:00,Middleburg Heights,OH,Sphere,40 minutes,Round sphere bright light 5 of them kinda scattered I've been seeing them for 3 nights in a row now my daughter has seen them also man,2/25/20,Sighting,Sighting : Middleburg Heights,41.3614401,-81.812912
2/19/20 22:48,Last Chance,CO,Rectangle,1 hour,While watching the Viaero Sky weather camera I witnessed multiple moving lights. They were all traveling at different speeds but were a,2/25/20,Sighting,Sighting : Last Chance,39.7408195,-103.5916136
2/19/20 22:38,Bend,OR,Formation,4.5 seconds,"fast moving, 5 point triangular formation of lights that break away in unison",2/25/20,Sighting,Sighting : Bend,44.0581728,-121.3153096
2/19/20 22:30,Renton,WA,Light,<5 minutes,"Witness report: Star moving rapidly, erratically",2/25/20,Sighting,Sighting : Renton,47.4796927,-122.2079218
